sequence_idx,cluster
0,2
1,1
2,0
3,0
4,2
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,2
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,2
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,2
35,0
36,1
37,1
38,2
39,1
40,1
41,2
42,1
43,2
44,2
45,1
46,0
47,1
48,2
49,0
50,0
51,1
52,0
53,2
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,2
63,1
64,0
65,0
66,1
67,2
68,1
69,0
70,0
71,0
72,1
73,0
74,2
75,1
76,2
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,2
104,1
105,1
106,2
107,1
108,2
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,2
117,1
118,2
119,1
120,1
121,0
122,1
123,1
124,1
125,2
126,1
127,1
128,1
129,2
130,1
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,2
141,1
142,1
143,2
144,0
145,1
146,0
147,0
148,0
149,2
150,1
151,1
152,2
153,1
154,1
155,2
156,2
157,0
158,1
159,1
160,1
161,1
162,1
163,2
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,2
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,2
183,1
184,1
185,0
186,1
187,2
188,0
189,1
190,1
191,2
192,1
193,1
194,1
195,0
196,2
197,1
198,2
199,2
200,1
201,2
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,0
218,2
219,0
220,2
221,0
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,2
231,1
232,2
233,0
234,1
235,2
236,1
237,1
238,1
239,2
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,0
250,1
251,2
252,0
253,2
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,2
265,1
266,0
267,1
268,2
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,2
282,2
283,1
284,1
285,2
286,1
287,0
288,2
289,0
290,1
291,2
292,1
293,1
294,0
295,1
296,0
297,1
298,2
299,0
300,0
301,1
302,1
303,0
304,2
305,1
306,0
307,1
308,1
309,1
310,2
311,0
312,1
313,2
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,2
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,2
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,2
355,2
356,2
357,2
358,1
359,0
360,1
361,1
362,0
363,1
364,0
365,0
366,2
367,1
368,0
369,2
370,1
371,0
372,2
373,1
374,0
375,0
376,1
377,1
378,2
379,2
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,2
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,2
398,1
399,1
400,0
401,2
402,2
403,1
404,1
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,2
415,0
416,1
417,1
418,2
419,2
420,1
421,0
422,0
423,2
424,0
425,1
426,1
427,1
428,0
429,1
430,2
431,1
432,1
433,1
434,0
435,1
436,1
437,2
438,1
439,2
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,2
450,1
451,2
452,1
453,1
454,1
455,0
456,2
457,0
458,0
459,2
460,1
461,2
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,0
472,0
473,1
474,2
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,2
483,0
484,1
485,2
486,1
487,0
488,1
489,1
490,0
491,2
492,2
493,1
494,1
495,1
496,1
497,1
498,1
499,2
500,1
501,1
502,2
503,1
504,1
505,0
506,1
507,2
508,1
509,1
510,1
511,2
512,0
513,2
514,0
515,1
516,2
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,2
525,0
526,2
527,0
528,1
529,2
530,1
531,1
532,0
533,0
534,2
535,1
536,1
537,0
538,1
539,0
540,1
541,1
542,2
543,1
544,1
545,2
546,1
547,1
548,2
549,1
550,2
551,1
552,2
553,1
554,1
555,1
556,1
557,0
558,0
559,2
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,0
572,0
573,2
574,1
575,0
576,1
577,0
578,2
579,1
580,1
581,1
582,2
583,1
584,2
585,2
586,0
587,1
588,2
589,0
590,2
591,2
592,0
593,0
594,1
595,0
596,2
597,1
598,0
599,1
600,1
601,2
602,1
603,0
604,0
605,2
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,2
615,1
616,1
617,1
618,1
619,0
620,2
621,1
622,1
623,2
624,0
625,1
626,1
627,1
628,2
629,1
630,2
631,2
632,1
633,1
634,1
635,2
636,0
637,0
638,1
639,1
640,1
641,1
642,2
643,1
644,1
645,0
646,1
647,0
648,1
649,1
650,2
651,1
652,2
653,1
654,0
655,1
656,0
657,1
658,2
659,1
660,2
661,1
662,2
663,1
664,2
665,1
666,1
667,0
668,1
669,0
670,1
671,2
672,0
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,1
698,1
699,0
700,1
701,2
702,1
703,2
704,1
705,0
706,1
707,1
708,1
709,1
710,0
711,0
712,1
713,1
714,2
715,0
716,0
717,2
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
